Name;Date;Close/Last;Volume;Open;High;Low
BRK.B;11/14/2023;354,25;3388316;352,52;355,95;351,25
BRK.B;08/18/2023;352,56;2870910;351,47;354,3;351,25
BRK.B;08/01/2023;352,26;2296703;352,03;353,42;351,25
BRK.B;12/08/2023;353,08;3289270;353;353,67;351,02
BRK.B;12/07/2023;352,7;2833348;352;353,02;350,85
BRK.B;07/31/2023;351,96;2622162;350,73;352,33;350,21
BRK.B;11/03/2023;351,81;4410901;350,17;354,35;349,79
BRK.B;08/02/2023;351,19;3088573;351,45;352,88;349,69
BRK.B;08/21/2023;352,09;2543100;354,09;354,18;349,61
BRK.B;08/04/2023;349,99;2843922;353,99;355,11;349,39
BRK.B;11/13/2023;350,01;2196921;350,09;350,64;348,81
BRK.B;07/27/2023;349,31;2712061;350,69;351,27;348,6
BRK.B;11/10/2023;350,56;3702339;349,6;351,2;348,6
BRK.B;09/29/2023;350,3;4935674;357,3;357,5;348,55
BRK.B;07/28/2023;349,81;2473823;349,93;351;348,32
BRK.B;07/26/2023;349,8;2684530;347,56;351,09;347,52
BRK.B;07/24/2023;349,63;3270037;346,77;351,19;346,28
BRK.B;10/16/2023;346,23;3120530;348;349,94;345,83
BRK.B;07/25/2023;347,58;3016291;349,32;349,66;345,54
BRK.B;10/10/2023;348,56;2859909;347;349,51;345,5
BRK.B;10/02/2023;348,08;3529125;349,64;350;345,41
BRK.B;07/21/2023;345,76;3302140;346,75;347,62;345,1
BRK.B;10/11/2023;348,43;2621414;349,38;349,6;344,92
BRK.B;11/02/2023;349,02;3437737;346,39;349,38;344,5
BRK.B;07/12/2023;345,35;2899407;345,29;346,44;344,31
BRK.B;10/17/2023;345,39;2999308;346,18;348,4;344,15
BRK.B;11/06/2023;346,63;5489338;354,03;354,03;344,06
BRK.B;10/13/2023;345,09;2805970;346;348,44;343,88
BRK.B;07/18/2023;345,34;2569008;344,05;347,25;343,54
BRK.B;07/13/2023;343,54;2833854;345,6;346,2;343,45
BRK.B;10/12/2023;345,66;2678343;348,21;348,66;343,02
BRK.B;07/20/2023;346,61;3147635;343,09;346,79;342,85
BRK.B;10/09/2023;345,45;2763106;344,24;345,9;342,83
BRK.B;10/05/2023;345,06;3029114;343,7;345,94;342,37
BRK.B;10/03/2023;343,04;3153221;347,39;348,24;342,13
BRK.B;07/19/2023;342,43;3037697;344,21;345,38;341,99
BRK.B;10/06/2023;346,34;3176158;344,1;348,76;341,86
BRK.B;07/17/2023;344,25;2361019;341,09;345,72;341,09
BRK.B;11/01/2023;343,75;2790593;341,21;345,33;340,58
BRK.B;07/14/2023;341,09;2675172;344,99;345;340,51
BRK.B;10/18/2023;340,89;2978004;344,72;344,83;339,96
BRK.B;10/04/2023;343,69;3245444;342,92;344,01;339,51
BRK.B;07/06/2023;341,46;2550399;339,75;341,8;338,91
BRK.B;07/05/2023;341,56;2875644;340,05;341,89;338,7
BRK.B;10/19/2023;338,66;2745685;340,31;342,69;338,45
BRK.B;07/03/2023;342;2047440;340,75;342,08;338,41
BRK.B;06/30/2023;341;4522066;338,78;342,5;338,4
BRK.B;10/24/2023;338,63;2356386;338,18;339,85;337,77
BRK.B;06/16/2023;338,31;8487204;341,02;341,3;337,66
BRK.B;10/31/2023;341,33;3067894;337,95;341,49;337,5
BRK.B;10/25/2023;336,9;2624711;338,59;339,62;336,55
BRK.B;06/21/2023;338,61;4507761;337,3;341,35;336,37
BRK.B;06/22/2023;336,96;3304552;338,84;338,85;335,66
BRK.B;06/15/2023;339,82;4116957;335,97;341,68;335,54
BRK.B;10/26/2023;336,16;2687088;337,07;338,31;335,46
BRK.B;06/27/2023;335,34;2626698;334,39;336,73;334,37
BRK.B;10/20/2023;335,86;3472804;338,15;340;334,35
BRK.B;06/23/2023;335,25;4453846;335,1;337,47;334,19
BRK.B;06/29/2023;336,91;2499138;334,26;337,01;334,14
BRK.B;06/08/2023;335,95;2759715;335,49;336,32;334,1
BRK.B;06/14/2023;335,9;5167308;337,22;340,38;334,09
BRK.B;10/23/2023;336,84;2795170;334,07;338,88;333,49
BRK.B;06/28/2023;334,15;3216531;336,05;336,4;332,61
BRK.B;06/12/2023;333,6;2874530;335,16;335,34;332,22
BRK.B;06/13/2023;336,39;2953682;333,22;336,62;332,2
BRK.B;06/26/2023;334,12;3221884;335,17;335,82;331,84
BRK.B;06/07/2023;335,42;3730381;334,01;335,82;331,43
BRK.B;10/27/2023;331,71;3609115;336,12;336,19;330,58
BRK.B;05/19/2023;330,39;4323538;331;333,94;329,12
BRK.B;06/06/2023;333,41;3183994;329,04;334,16;328,68
BRK.B;05/01/2023;330,17;2465391;329,16;331,84;328,57
BRK.B;05/22/2023;329,13;2763422;330,75;331,49;328,35
BRK.B;06/05/2023;328,58;3092174;330,89;329,59;327,57
BRK.B;05/18/2023;329,76;2808329;326,87;329,98;325,85
BRK.B;05/08/2023;326,14;3303393;328,26;330,69;325,79
BRK.B;04/28/2023;328,55;2912387;325,44;328,81;325,19
BRK.B;05/17/2023;327,39;3047626;325,02;328,26;324,82
